System,Metric,"Rep 1 (20–60 ns, mean ± SD)","Rep 2 (20–60 ns, mean ± SD)","Rep 3 (20–60 ns, mean ± SD)",Replica-average of means (mean ± SD)
5FWJ metal-depleted,Ligand heavy-atom RMSD (nm),6.983 ± 1.443,4.122 ± 1.557,2.395 ± 0.354,4.500 ± 2.317
5FWJ metal-depleted,Lig–Pocket COM distance (nm),6.253 ± 0.694,3.029 ± 0.813,2.381 ± 0.149,3.888 ± 2.074
