System,Metric,"Rep 1 (20–60 ns, mean ± SD)","Rep 2 (20–60 ns, mean ± SD)","Rep 3 (20–60 ns, mean ± SD)",Replica-average of means (mean ± SD)
CAF,Ligand heavy-atom RMSD (nm),0.368 ± 0.039,0.668 ± 0.088,0.916 ± 0.067,0.650 ± 0.274
CAF,Lig–Pocket COM distance (nm),0.765 ± 0.042,0.899 ± 0.074,1.162 ± 0.088,0.942 ± 0.202
