Term,Mean ± SD (kcal/mol)
VDWAALS,-5.40 ± 4.90
EEL,-0.65 ± 0.63
EGB,3.27 ± 2.87
ESURF,-0.70 ± 0.62
GGAS,-6.06 ± 5.53
GSOLV,2.57 ± 2.26
ΔGbind (ΔTOTAL),-3.49 ± 3.32
