Term,Mean ± SD (kcal/mol)
VDWAALS,-5.36 ± 4.58
EEL,-0.67 ± 0.56
EGB,3.28 ± 2.76
ESURF,-0.71 ± 0.60
GGAS,-6.02 ± 5.14
GSOLV,2.57 ± 2.16
ΔGbind (ΔTOTAL),-3.45 ± 3.05
