Replica,file,VDWAALS (avg),VDWAALS (SD within),EEL (avg),EEL (SD within),EGB (avg),EGB (SD within),ESURF (avg),ESURF (SD within),GGAS (avg),GGAS (SD within),GSOLV (avg),GSOLV (SD within),TOTAL (avg),TOTAL (SD within),Matched TOTAL line
Rep 1,FINAL_RESULTS_MMGBSA_apo_rep1.dat,-0.08,0.75,-0.02,0.44,0.11,0.72,-0.01,0.1,-0.1,0.87,0.1,0.65,-0.0,0.37,ΔTOTAL                   -0.00          1.97       0.37         0.08       0.02
Rep 2,FINAL_RESULTS_MMGBSA_apo_rep2.dat,-8.36,8.13,-0.97,1.8,4.56,4.47,-1.03,0.99,-9.33,9.25,3.52,3.54,-5.8,5.91,ΔTOTAL                   -5.80          1.47       5.91         0.06       0.24
Rep 3,FINAL_RESULTS_MMGBSA_apo_rep3.dat,-7.63,5.39,-1.01,1.86,5.17,3.65,-1.08,0.77,-8.64,6.51,4.09,2.99,-4.55,3.86,ΔTOTAL                   -4.55          1.56       3.86         0.06       0.16
