GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
401,492.08,1152.81,1546.13,130.28,80.56,-58.45,-987.15,-8968.55,514.46,7763.32,-7171.47,71.5,1665.49,-7099.97,-5434.48
411,511.82,1202.66,1546.58,137.78,88.16,-69.32,-1026.11,-8950.92,506.78,7757.09,-7193.41,70.69,1704.52,-7122.72,-5418.2
421,504.31,1192.35,1536.67,137.23,69.79,-68.66,-1012.28,-9020.86,508.39,7823.48,-7213.56,72.46,1670.41,-7141.1,-5470.69
431,512.42,1143.33,1566.99,140.84,67.86,-66.75,-999.89,-8920.97,516.78,7781.58,-7252.85,70.59,1742.19,-7182.26,-5440.06
441,543.87,1195.37,1559.46,134.85,84.08,-64.36,-1001.0,-8922.93,498.88,7778.85,-7276.7,71.0,1807.08,-7205.7,-5398.62
451,511.61,1202.73,1563.18,140.53,72.28,-84.59,-987.96,-8923.99,501.97,7757.8,-7244.92,71.98,1753.55,-7172.93,-5419.38
461,508.31,1194.98,1535.93,134.44,82.74,-71.09,-994.31,-8842.14,514.52,7722.42,-7297.46,73.32,1785.82,-7224.15,-5438.33
471,524.01,1217.02,1558.35,136.79,78.27,-76.89,-1003.9,-8819.92,505.19,7745.43,-7325.14,72.36,1864.34,-7252.78,-5388.44
481,523.76,1148.26,1559.04,135.78,86.04,-84.82,-1002.24,-8773.51,517.37,7799.4,-7393.08,72.39,1909.07,-7320.69,-5411.62
491,519.03,1179.22,1549.89,138.49,92.36,-71.0,-1016.48,-8866.65,519.79,7777.48,-7293.72,71.71,1822.12,-7222.01,-5399.88
501,523.47,1201.82,1546.84,140.66,69.51,-71.53,-999.07,-8857.33,496.93,7740.53,-7286.78,71.93,1791.83,-7214.85,-5423.02
511,513.24,1195.43,1548.95,136.89,70.66,-74.43,-1019.53,-8999.01,507.78,7764.02,-7161.66,70.59,1644.01,-7091.08,-5447.07
