GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
401,561.42,1320.52,1740.01,142.97,85.22,-64.15,-1139.28,-10114.56,541.07,8624.85,-2267.78,77.02,1698.07,-2190.76,-492.68
411,545.98,1312.3,1722.34,150.35,84.0,-53.72,-1142.01,-10199.36,532.42,8674.5,-2218.44,77.07,1626.8,-2141.37,-514.57
421,552.31,1301.72,1739.77,152.96,88.83,-53.1,-1143.12,-10222.91,558.53,8694.95,-2217.82,76.08,1669.94,-2141.74,-471.8
431,550.35,1309.75,1707.08,150.17,90.71,-60.59,-1140.05,-10161.2,571.37,8642.23,-2236.75,76.48,1659.82,-2160.28,-500.46
441,519.17,1343.31,1743.93,152.47,83.03,-72.04,-1147.43,-10193.57,560.26,8652.24,-2187.18,76.55,1641.36,-2110.63,-469.28
451,545.55,1323.55,1718.07,154.04,93.12,-47.78,-1135.06,-10197.39,567.7,8602.1,-2166.41,76.32,1623.89,-2090.09,-466.19
461,550.12,1304.25,1729.29,158.25,79.76,-67.34,-1132.5,-10183.1,572.84,8605.76,-2188.74,77.31,1617.32,-2111.42,-494.1
471,561.73,1296.07,1719.72,153.51,81.06,-50.26,-1143.14,-10166.12,553.85,8617.42,-2193.28,76.02,1623.83,-2117.26,-493.43
481,540.24,1320.96,1719.6,148.3,73.35,-56.72,-1142.1,-10183.74,553.16,8657.68,-2201.86,76.42,1630.72,-2125.44,-494.72
491,532.44,1315.27,1754.55,155.94,98.33,-61.58,-1152.52,-10152.78,570.72,8613.3,-2208.33,75.86,1673.68,-2132.47,-458.79
501,538.01,1304.91,1719.73,154.43,85.7,-52.9,-1136.58,-10175.43,572.69,8672.34,-2204.01,76.1,1682.89,-2127.91,-445.02
511,579.45,1307.08,1727.28,165.68,87.45,-65.58,-1116.23,-10111.58,572.45,8658.7,-2271.58,77.47,1804.7,-2194.11,-389.41
521,548.97,1349.16,1706.07,154.1,80.37,-60.83,-1125.22,-10203.83,552.05,8617.37,-2177.53,76.63,1618.2,-2100.91,-482.71
531,594.38,1298.18,1716.26,146.37,81.92,-59.64,-1128.15,-10216.58,549.79,8648.33,-2205.09,76.32,1630.87,-2128.77,-497.9
541,573.25,1336.2,1722.7,149.95,81.99,-65.71,-1132.68,-10170.2,547.23,8632.16,-2227.85,76.96,1674.87,-2150.89,-476.02
551,576.57,1333.96,1732.67,148.85,82.74,-52.49,-1140.58,-10177.69,542.43,8647.41,-2225.33,76.74,1693.89,-2148.59,-454.7
561,555.5,1309.0,1717.53,153.82,81.34,-49.61,-1159.65,-10226.57,563.36,8604.3,-2147.61,75.1,1549.02,-2072.5,-523.49
571,584.63,1349.32,1732.66,156.71,89.54,-56.7,-1144.6,-10230.83,551.07,8628.34,-2160.43,76.5,1660.14,-2083.93,-423.8
581,551.06,1346.27,1741.99,162.94,93.87,-57.12,-1145.26,-10206.55,558.43,8641.64,-2173.3,75.21,1687.27,-2098.09,-410.82
591,545.25,1380.91,1724.03,174.07,87.23,-57.57,-1116.61,-10184.74,541.78,8597.32,-2194.67,76.3,1691.68,-2118.36,-426.69
601,596.54,1338.89,1734.72,154.0,82.24,-67.89,-1122.22,-10175.91,543.61,8604.55,-2221.37,76.95,1688.52,-2144.42,-455.9
611,612.45,1330.22,1730.08,156.2,85.99,-52.31,-1127.2,-10223.2,557.65,8624.54,-2170.93,76.5,1694.42,-2094.43,-400.01
621,538.94,1358.49,1754.8,161.41,90.28,-67.89,-1149.72,-10193.17,552.44,8589.3,-2173.94,76.23,1634.9,-2097.71,-462.81
631,565.74,1300.6,1720.39,141.46,81.86,-52.84,-1140.05,-10158.79,567.11,8610.73,-2181.0,74.95,1636.21,-2106.05,-469.84
641,559.26,1313.72,1727.08,146.15,103.86,-60.11,-1130.03,-10118.22,560.47,8571.13,-2205.43,76.66,1673.31,-2128.77,-455.46
651,565.31,1359.93,1736.57,160.53,78.42,-56.71,-1133.19,-10173.33,550.02,8598.97,-2165.99,76.7,1686.53,-2089.29,-402.76
661,533.46,1324.22,1739.04,155.33,88.69,-68.66,-1131.94,-10216.47,546.78,8610.54,-2151.13,75.59,1581.0,-2075.54,-494.55
671,570.67,1347.05,1721.48,155.54,90.83,-68.49,-1133.32,-10162.44,564.78,8604.19,-2197.96,75.77,1690.29,-2122.19,-431.89
681,548.04,1356.54,1726.5,155.85,84.29,-65.44,-1145.47,-10114.62,564.81,8611.71,-2241.91,76.66,1722.21,-2165.26,-443.04
691,559.29,1320.2,1749.73,156.14,76.44,-52.33,-1119.0,-10068.29,559.81,8548.65,-2240.54,77.85,1730.65,-2162.69,-432.03
701,561.66,1297.62,1736.24,149.17,77.23,-63.64,-1136.09,-10138.56,542.71,8581.96,-2191.88,75.74,1608.31,-2116.14,-507.83
711,554.83,1309.98,1745.77,151.84,82.58,-55.91,-1138.68,-10116.05,546.55,8589.59,-2239.3,77.94,1670.49,-2161.36,-490.87
721,576.07,1306.66,1730.98,154.55,82.18,-67.77,-1135.77,-10141.9,550.79,8609.49,-2208.5,76.6,1665.28,-2131.9,-466.62
731,561.46,1384.42,1727.87,162.81,88.02,-62.57,-1142.99,-10122.43,548.64,8565.07,-2212.31,77.81,1710.29,-2134.5,-424.21
741,574.42,1319.67,1733.12,156.46,82.76,-60.06,-1155.33,-10044.38,551.71,8543.45,-2237.47,76.06,1701.81,-2161.41,-459.6
751,593.86,1341.47,1751.95,151.93,82.52,-69.16,-1147.6,-10123.13,537.46,8632.22,-2252.55,77.48,1751.51,-2175.08,-423.56
761,543.84,1254.39,1727.82,143.34,83.13,-59.04,-1134.4,-10096.88,569.04,8608.73,-2225.4,76.09,1639.99,-2149.31,-509.32
771,552.6,1328.85,1696.69,157.31,87.38,-59.59,-1170.1,-10086.69,549.0,8611.1,-2244.55,76.69,1666.55,-2167.86,-501.31
781,550.24,1313.26,1748.25,156.37,80.21,-51.47,-1146.56,-10108.6,558.02,8597.09,-2234.12,77.04,1696.8,-2157.08,-460.28
791,562.89,1302.94,1738.93,156.38,89.19,-62.83,-1130.99,-10123.45,579.0,8583.12,-2208.97,77.87,1695.18,-2131.1,-435.92
801,549.99,1302.09,1745.37,147.38,82.62,-62.03,-1147.82,-10037.86,557.37,8540.42,-2240.19,76.82,1677.52,-2163.37,-485.85
811,582.35,1284.45,1749.99,160.04,78.52,-51.69,-1139.83,-10162.64,563.92,8617.24,-2184.1,76.45,1682.34,-2107.65,-425.31
821,522.5,1293.35,1729.28,141.8,84.86,-63.53,-1111.43,-10184.82,568.55,8606.48,-2173.66,78.24,1587.03,-2095.41,-508.38
831,562.21,1346.07,1731.88,153.31,84.1,-59.52,-1139.46,-10116.92,546.45,8580.56,-2202.54,76.3,1688.69,-2126.24,-437.56
841,562.59,1309.73,1748.4,151.21,90.2,-55.05,-1136.41,-10074.57,551.69,8615.65,-2283.51,78.87,1763.45,-2204.65,-441.19
851,553.82,1322.85,1730.55,155.49,93.18,-60.9,-1145.54,-10107.57,567.15,8621.69,-2215.55,76.93,1730.71,-2138.62,-407.9
861,584.34,1322.67,1755.37,158.55,87.35,-70.48,-1112.53,-10179.09,551.0,8629.69,-2224.52,78.08,1726.87,-2146.44,-419.57
871,532.75,1296.72,1717.94,152.75,94.95,-52.47,-1132.91,-10134.7,563.7,8640.39,-2228.58,77.94,1679.12,-2150.63,-471.52
881,553.42,1368.22,1743.36,144.15,87.22,-71.4,-1109.5,-10100.56,553.45,8598.55,-2246.57,79.58,1766.91,-2166.99,-400.08
891,553.46,1365.48,1743.2,151.92,91.47,-74.68,-1121.51,-10128.53,555.34,8611.23,-2234.43,79.33,1747.38,-2155.1,-407.72
901,529.55,1312.71,1730.46,150.63,87.79,-43.75,-1138.63,-10113.66,542.21,8632.28,-2250.33,77.37,1689.59,-2172.96,-483.37
911,547.76,1317.99,1705.56,150.41,85.68,-50.77,-1139.86,-10051.3,569.43,8594.83,-2260.61,76.98,1729.72,-2183.63,-453.9
921,553.92,1359.92,1715.58,158.49,84.45,-62.42,-1139.43,-10020.97,544.67,8544.45,-2258.73,78.81,1738.67,-2179.92,-441.25
931,592.0,1377.78,1709.75,167.35,86.76,-62.43,-1136.74,-10064.02,561.23,8572.64,-2246.11,79.7,1804.31,-2166.41,-362.1
