GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,587.11,1306.8,1722.11,154.64,89.12,-57.7,-1104.11,-10135.8,564.7,8627.15,-2257.64,77.98,1754.02,-2179.65,-425.63
11,525.45,1318.65,1716.08,155.73,87.8,-49.83,-1128.53,-10233.33,578.92,8735.23,-2224.93,75.46,1706.16,-2149.47,-443.31
21,569.96,1316.42,1750.43,156.18,84.43,-71.59,-1107.6,-10126.95,559.22,8648.4,-2262.39,76.01,1778.89,-2186.38,-407.5
31,597.13,1313.89,1733.95,157.8,81.41,-53.46,-1114.94,-10083.54,551.39,8607.72,-2300.0,78.1,1791.35,-2221.89,-430.54
41,543.13,1275.13,1743.12,154.57,87.16,-57.11,-1133.46,-10105.26,573.62,8680.43,-2271.16,76.41,1761.32,-2194.74,-433.42
51,567.89,1303.05,1718.02,146.18,96.12,-44.72,-1134.09,-10166.41,567.62,8723.62,-2255.44,76.62,1777.27,-2178.81,-401.54
61,554.88,1287.83,1750.03,149.65,97.54,-62.21,-1105.7,-10105.4,569.29,8694.42,-2313.07,77.56,1830.34,-2235.51,-405.17
71,583.71,1281.53,1721.86,149.11,78.26,-54.15,-1173.19,-10093.82,546.05,8678.82,-2298.0,75.84,1718.19,-2222.15,-503.96
81,548.51,1333.27,1770.93,143.05,86.41,-67.8,-1094.16,-10158.07,553.86,8632.8,-2234.02,76.8,1748.8,-2157.22,-408.42
91,563.61,1330.83,1742.86,148.41,86.51,-49.03,-1119.73,-10081.48,540.31,8587.74,-2278.71,76.76,1750.02,-2201.94,-451.92
101,567.79,1316.4,1738.65,156.08,90.72,-58.9,-1101.69,-10133.75,559.89,8674.78,-2274.73,75.5,1809.96,-2199.24,-389.27
111,542.18,1340.38,1720.92,157.54,76.63,-61.14,-1133.39,-10069.49,561.45,8650.21,-2311.09,77.74,1785.31,-2233.35,-448.05
121,584.31,1257.77,1764.03,155.09,80.58,-58.66,-1139.16,-10070.01,561.07,8634.52,-2307.22,76.0,1769.53,-2231.21,-461.68
131,550.42,1310.61,1728.39,147.01,80.95,-64.97,-1113.01,-10130.63,571.61,8651.46,-2288.91,77.19,1731.84,-2211.72,-479.88
141,575.51,1278.97,1742.62,145.93,81.44,-50.04,-1127.52,-10116.7,553.11,8628.03,-2249.95,75.71,1711.35,-2174.24,-462.88
151,559.41,1313.78,1751.17,145.37,92.42,-76.07,-1129.8,-10027.32,563.71,8596.25,-2324.35,75.52,1788.92,-2248.83,-459.91
161,567.48,1331.93,1738.68,147.45,76.4,-65.06,-1132.04,-10101.38,537.33,8640.06,-2283.92,76.5,1740.85,-2207.42,-466.57
171,531.38,1329.57,1738.97,144.71,91.6,-56.74,-1140.99,-10045.44,552.54,8633.12,-2322.49,76.05,1778.74,-2246.44,-467.7
181,566.48,1363.58,1735.36,145.49,83.16,-66.0,-1127.13,-10103.53,552.02,8593.94,-2248.7,76.16,1743.39,-2172.55,-429.16
191,556.53,1366.79,1710.35,154.06,75.92,-49.29,-1127.43,-10032.03,543.76,8552.71,-2299.97,76.63,1751.36,-2223.35,-471.99
201,591.22,1353.9,1744.86,159.39,83.05,-55.34,-1124.23,-10081.79,543.15,8601.25,-2272.23,76.21,1815.46,-2196.01,-380.55
211,539.45,1316.0,1725.68,149.49,81.03,-62.63,-1140.51,-10004.38,549.36,8617.45,-2356.76,77.48,1770.93,-2279.28,-508.35
221,563.83,1292.59,1713.57,149.36,82.84,-59.88,-1130.09,-10004.21,562.31,8614.35,-2343.37,77.7,1784.67,-2265.67,-481.0
231,599.55,1321.59,1725.61,148.45,86.09,-59.41,-1099.46,-10016.65,548.12,8566.55,-2306.27,75.8,1820.45,-2230.47,-410.02
241,541.96,1319.72,1755.18,153.06,87.52,-50.25,-1130.91,-10069.94,544.93,8581.01,-2263.98,76.17,1732.28,-2187.81,-455.53
251,546.53,1372.64,1735.24,160.72,77.71,-65.18,-1115.98,-10033.42,530.99,8540.18,-2277.86,75.9,1749.43,-2201.95,-452.52
261,571.33,1325.63,1743.33,147.75,85.73,-62.73,-1135.09,-10123.71,546.55,8641.92,-2255.82,76.05,1740.72,-2179.76,-439.04
271,551.97,1303.87,1734.45,153.85,80.66,-59.39,-1130.22,-10127.73,551.58,8607.51,-2232.51,76.98,1666.55,-2155.53,-488.98
281,596.23,1329.29,1729.17,156.21,91.37,-56.5,-1133.4,-10087.69,545.78,8597.64,-2259.5,76.02,1768.09,-2183.48,-415.38
291,569.35,1333.13,1731.63,158.59,75.21,-51.97,-1133.77,-10101.85,543.67,8601.9,-2240.13,75.48,1725.88,-2164.65,-438.77
301,599.42,1329.68,1745.6,150.26,91.94,-47.17,-1142.82,-10136.14,537.04,8613.65,-2224.36,77.23,1741.45,-2147.14,-405.69
311,568.71,1327.01,1745.62,154.83,96.94,-38.43,-1133.33,-10134.79,542.64,8626.02,-2251.24,76.07,1755.22,-2175.17,-419.95
321,591.53,1327.69,1711.1,162.88,86.7,-52.0,-1078.0,-10133.54,532.89,8626.22,-2253.99,77.4,1775.46,-2176.59,-401.13
331,569.29,1311.6,1772.02,153.55,90.28,-46.95,-1123.16,-10112.81,539.21,8588.42,-2244.1,78.5,1741.43,-2165.6,-424.17
341,581.09,1339.93,1720.04,159.51,89.19,-37.25,-1101.87,-10143.59,532.23,8585.99,-2234.22,75.81,1725.26,-2158.4,-433.14
351,579.86,1341.15,1722.57,161.75,90.61,-43.72,-1135.72,-10139.76,549.53,8652.92,-2244.12,78.36,1779.18,-2165.75,-386.57
361,581.86,1326.52,1728.28,159.39,86.43,-49.68,-1133.93,-10210.29,564.95,8644.77,-2189.05,74.92,1698.3,-2114.13,-415.83
371,587.79,1373.91,1729.08,149.98,94.26,-77.53,-1141.19,-10219.54,552.32,8604.25,-2149.06,74.67,1653.32,-2074.39,-421.08
381,571.98,1368.63,1764.89,159.24,94.88,-56.2,-1128.57,-10168.41,550.83,8585.22,-2189.81,75.52,1742.5,-2114.29,-371.8
