Term,Mean ± SD (kcal/mol)
VDWAALS,-8.98 ± 11.49
EEL,-3.20 ± 4.08
EGB,11.87 ± 15.96
ESURF,-1.17 ± 1.49
GGAS,-12.19 ± 15.56
GSOLV,10.70 ± 14.48
ΔGbind (ΔTOTAL),-1.50 ± 1.45
