Replica,file,VDWAALS (avg),VDWAALS (SD within),EEL (avg),EEL (SD within),EGB (avg),EGB (SD within),ESURF (avg),ESURF (SD within),GGAS (avg),GGAS (SD within),GSOLV (avg),GSOLV (SD within),TOTAL (avg),TOTAL (SD within),Matched TOTAL line
Rep 1,FINAL_RESULTS_MMGBSA_holo_rep1.dat,-12.07,11.75,-8.89,11.3,16.64,17.65,-1.65,1.62,-20.96,22.24,14.99,16.11,-5.97,6.61,ΔTOTAL                   -5.97          8.40       6.61         0.34       0.27
Rep 2,FINAL_RESULTS_MMGBSA_holo_rep2.dat,-22.47,2.8,-7.88,3.53,29.87,4.04,-2.94,0.38,-30.35,5.2,26.93,3.89,-3.42,3.72,ΔTOTAL                   -3.42          1.63       3.72         0.07       0.15
Rep 3,FINAL_RESULTS_MMGBSA_holo_rep3.dat,-2.38,5.92,-1.92,4.71,4.52,10.34,-0.32,0.8,-4.3,10.36,4.2,9.57,-0.1,1.51,ΔTOTAL                   -0.10          1.76       1.51         0.07       0.06
