Term,Mean ± SD (kcal/mol)
VDWAALS,-12.31 ± 10.05
EEL,-6.23 ± 3.77
EGB,17.01 ± 12.68
ESURF,-1.64 ± 1.31
GGAS,-18.54 ± 13.19
GSOLV,15.37 ± 11.37
ΔGbind (ΔTOTAL),-3.16 ± 2.94
