System,Metric,Replica,Mean,SD,Mean ± SD,Npoints in window,t_first(ns),t_last(ns),Source file
5FWJ metal-retained,Cα RMSD (nm),Rep 1,0.16374851785,0.022457774149464666,0.164 ± 0.022,4000,0.0,60.000004,rmsd_jmjc_CA_holo_rep1.xvg
5FWJ metal-retained,Cα RMSD (nm),Rep 2,0.123690215675,0.026324614589692777,0.124 ± 0.026,4000,0.0,60.000004,rmsd_jmjc_CA_holo_rep2.xvg
5FWJ metal-retained,Cα RMSD (nm),Rep 3,0.13381907414999997,0.014540278447959408,0.134 ± 0.015,4000,0.0,60.0000038,rmsd_jmjc_CA_holo_rep3.xvg
5FWJ metal-retained,Radius of gyration (Rg) (nm),Rep 1,1.6798497370657337,0.013966400162724405,1.680 ± 0.014,4001,0.0,60.0,rg_jmjc_holo_rep1.xvg
5FWJ metal-retained,Radius of gyration (Rg) (nm),Rep 2,1.6563798485378654,0.00973494222502391,1.656 ± 0.010,4001,0.0,60.0,rg_jmjc_holo_rep2.xvg
5FWJ metal-retained,Radius of gyration (Rg) (nm),Rep 3,1.6435696908272932,0.008439258856922115,1.644 ± 0.008,4001,0.0,60.0,rg_jmjc_holo_rep3.xvg
5FWJ metal-retained,SASA (nm$^2$),Rep 1,98.72520519870032,2.7506457888344995,98.725 ± 2.751,4001,0.0,60.0,sasa_total_holo_rep1.xvg
5FWJ metal-retained,SASA (nm$^2$),Rep 2,96.93023444138966,1.4932270592657682,96.930 ± 1.493,4001,0.0,60.0,sasa_total_holo_rep2.xvg
5FWJ metal-retained,SASA (nm$^2$),Rep 3,95.51003624093977,1.6355880252790633,95.510 ± 1.636,4001,0.0,60.0,sasa_total_holo_rep3.xvg
