Term,Mean ± SD (kcal/mol)
VDWAALS,-11.97 ± 4.95
EEL,-3.65 ± 5.38
EGB,13.24 ± 8.55
ESURF,-1.71 ± 0.81
GGAS,-15.61 ± 10.05
GSOLV,11.53 ± 7.78
ΔGbind (ΔTOTAL),-4.09 ± 2.59
