GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,501.0,1194.95,1539.54,133.3,78.46,-72.02,-990.56,-8985.25,527.17,7755.66,-7164.44,68.67,1682.26,-7095.77,-5413.51
11,520.97,1255.96,1577.45,147.48,79.37,-67.56,-976.06,-8947.14,522.26,7722.75,-7209.41,67.79,1835.48,-7141.61,-5306.13
21,511.67,1244.81,1559.1,137.65,65.19,-59.16,-977.05,-8950.09,503.2,7698.92,-7172.11,67.85,1734.25,-7104.27,-5370.02
31,520.95,1149.52,1575.24,129.4,66.73,-71.42,-1016.21,-9068.85,527.79,7770.33,-7070.37,65.17,1583.48,-7005.2,-5421.71
41,488.68,1168.01,1556.94,134.07,73.9,-70.65,-970.79,-9046.09,536.45,7758.79,-7113.25,66.83,1629.3,-7046.42,-5417.12
51,532.77,1205.31,1562.02,142.34,72.72,-71.26,-1028.07,-9041.13,505.14,7744.09,-7072.84,68.29,1623.93,-7004.55,-5380.62
61,461.72,1163.75,1581.75,130.04,73.1,-86.66,-997.44,-9135.31,531.97,7799.22,-7063.91,67.34,1522.15,-6996.57,-5474.42
71,545.49,1215.18,1559.6,137.94,68.8,-53.95,-989.15,-9137.85,514.35,7757.17,-7015.97,66.6,1617.57,-6949.37,-5331.8
81,512.01,1212.56,1566.92,136.1,79.36,-76.03,-1001.57,-9092.46,506.95,7722.0,-7000.04,68.33,1565.83,-6931.71,-5365.88
91,492.13,1211.32,1574.87,132.74,69.21,-61.28,-1013.7,-9138.93,513.05,7759.63,-7001.46,67.17,1539.04,-6934.29,-5395.25
101,530.05,1182.62,1555.77,132.62,60.97,-76.4,-1014.42,-9229.33,524.5,7791.72,-6938.42,66.29,1458.1,-6872.12,-5414.03
111,485.63,1149.35,1583.52,133.19,73.47,-81.46,-1013.23,-9148.55,506.55,7813.65,-7035.85,68.44,1502.11,-6967.41,-5465.3
121,516.07,1215.83,1565.89,132.65,74.38,-76.2,-1013.45,-9070.01,507.13,7706.12,-7022.78,66.83,1558.42,-6955.95,-5397.53
131,569.17,1218.63,1572.16,142.05,80.36,-71.29,-1012.36,-9185.59,493.4,7744.31,-6959.71,68.58,1550.86,-6891.13,-5340.27
141,513.01,1200.15,1588.42,138.15,73.12,-76.56,-997.0,-9084.91,513.68,7770.97,-7065.48,68.41,1639.03,-6997.07,-5358.04
151,510.64,1182.44,1580.06,126.01,79.04,-78.73,-1009.52,-9177.04,508.24,7781.98,-6968.05,66.65,1503.12,-6901.4,-5398.27
161,518.6,1183.52,1558.07,138.54,80.37,-83.15,-999.28,-9277.79,521.22,7841.68,-6941.96,69.26,1481.77,-6872.7,-5390.93
171,525.54,1195.97,1560.04,139.99,80.94,-75.89,-1009.36,-9259.77,507.14,7780.4,-6894.62,69.21,1445.0,-6825.42,-5380.42
181,490.04,1211.49,1556.47,139.27,69.08,-80.98,-990.67,-9245.34,513.23,7752.63,-6892.25,68.02,1415.23,-6824.23,-5409.0
191,523.88,1189.49,1562.72,146.02,70.57,-70.45,-1005.44,-9240.0,522.95,7784.74,-6910.88,67.43,1484.48,-6843.45,-5358.97
201,479.55,1215.94,1589.77,138.23,80.04,-80.93,-1048.42,-9206.12,518.02,7720.78,-6904.31,67.35,1406.86,-6836.96,-5430.09
211,517.6,1214.2,1539.84,136.67,71.12,-60.94,-1003.05,-9279.38,516.7,7725.04,-6833.27,66.52,1377.8,-6766.76,-5388.96
221,517.26,1212.92,1578.33,143.0,73.1,-89.56,-997.89,-9374.77,507.74,7729.67,-6767.61,67.56,1299.8,-6700.05,-5400.25
231,517.76,1279.4,1550.86,144.81,71.3,-80.57,-1013.17,-9216.9,513.54,7716.22,-6896.46,68.26,1483.27,-6828.21,-5344.94
241,555.41,1201.68,1555.27,130.1,68.22,-73.98,-1020.81,-9323.9,507.25,7760.54,-6841.02,68.24,1359.78,-6772.77,-5412.99
251,486.8,1192.9,1566.19,137.7,75.34,-65.79,-1020.91,-9338.59,518.71,7841.87,-6888.28,66.9,1394.2,-6821.38,-5427.18
261,522.83,1239.94,1575.7,142.36,69.34,-71.95,-1028.47,-9267.86,498.59,7755.7,-6884.54,66.6,1436.18,-6817.94,-5381.76
271,536.1,1205.87,1558.01,131.38,77.42,-61.82,-1003.51,-9421.67,525.55,7739.91,-6753.32,68.75,1287.25,-6684.57,-5397.32
281,528.96,1203.24,1565.38,140.27,73.46,-68.44,-1009.64,-9365.94,507.96,7768.64,-6809.83,68.13,1343.86,-6741.7,-5397.84
291,493.19,1187.69,1543.54,133.76,74.18,-71.03,-980.49,-9498.34,512.16,7798.87,-6692.9,66.97,1193.54,-6625.92,-5432.39
301,523.47,1177.59,1558.45,139.48,71.82,-65.49,-1006.49,-9295.26,515.58,7784.02,-6873.86,67.65,1403.18,-6806.22,-5403.03
311,511.24,1245.41,1571.57,144.04,78.99,-73.92,-1005.65,-9244.64,505.0,7735.09,-6903.22,67.49,1467.11,-6835.73,-5368.62
321,489.06,1176.27,1557.16,142.54,69.74,-77.18,-1012.63,-9272.06,520.37,7809.95,-6894.72,68.75,1403.24,-6825.97,-5422.74
331,490.52,1173.78,1594.0,141.47,80.63,-76.03,-1007.1,-9234.22,506.85,7773.7,-6921.78,68.0,1443.6,-6853.79,-5410.19
341,512.05,1195.6,1560.36,139.0,73.9,-83.46,-997.82,-9241.77,516.09,7749.2,-6895.09,67.95,1423.15,-6827.14,-5403.99
351,506.69,1190.82,1578.18,131.88,76.13,-83.35,-1034.02,-9206.99,494.37,7784.43,-6917.03,67.82,1438.14,-6849.21,-5411.06
361,509.86,1216.63,1542.83,133.43,70.12,-70.04,-1014.96,-9296.64,492.62,7783.46,-6827.2,68.77,1367.3,-6758.42,-5391.13
371,499.42,1188.65,1564.96,125.31,78.31,-77.7,-992.5,-9364.02,517.26,7777.5,-6791.24,66.88,1317.19,-6724.36,-5407.17
381,527.08,1207.8,1569.23,139.02,81.1,-76.27,-1004.05,-9336.04,501.04,7767.29,-6817.18,68.13,1376.2,-6749.04,-5372.84
391,501.56,1181.49,1573.59,144.8,81.25,-72.16,-1011.51,-9476.73,516.53,7778.8,-6712.74,67.91,1217.62,-6644.83,-5427.21
401,542.28,1238.94,1584.36,145.39,73.75,-79.86,-1004.75,-9356.12,500.84,7755.72,-6781.9,68.79,1400.53,-6713.11,-5312.58
411,518.0,1201.73,1551.44,136.25,81.13,-70.49,-977.3,-9283.8,503.67,7740.74,-6852.92,68.55,1401.39,-6784.37,-5382.98
421,500.31,1202.93,1577.08,140.22,67.68,-67.6,-1002.86,-9380.5,513.49,7775.73,-6773.87,67.83,1326.47,-6706.04,-5379.58
431,488.87,1163.91,1590.17,131.84,72.44,-76.58,-1032.51,-9316.35,505.89,7787.95,-6841.96,67.48,1315.63,-6774.48,-5458.85
441,500.82,1217.91,1571.95,139.59,70.81,-83.35,-1010.38,-9341.26,504.85,7783.43,-6810.01,68.72,1354.35,-6741.28,-5386.93
451,544.69,1251.68,1563.11,134.56,80.3,-80.61,-992.72,-9296.04,500.74,7766.82,-6868.42,69.3,1472.55,-6799.13,-5326.58
461,505.5,1205.2,1583.12,135.23,71.27,-79.8,-998.55,-9360.75,509.24,7741.18,-6790.99,68.96,1311.63,-6722.03,-5410.39
471,508.22,1254.07,1572.65,136.64,81.3,-81.7,-990.33,-9384.6,516.53,7795.0,-6822.56,68.86,1407.8,-6753.71,-5345.91
481,490.98,1193.56,1584.65,137.76,84.34,-88.25,-1026.87,-9310.04,512.89,7805.18,-6868.73,67.19,1384.22,-6801.54,-5417.32
491,494.28,1230.34,1561.95,128.55,75.71,-68.76,-1022.74,-9328.4,495.09,7808.95,-6856.15,67.87,1374.98,-6788.28,-5413.3
501,491.36,1254.3,1548.72,136.37,81.58,-74.69,-1017.27,-9510.02,509.16,7785.42,-6668.29,67.24,1204.92,-6601.06,-5396.14
