GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1971,492.38,1175.9,1501.16,136.26,80.71,-60.08,-957.51,-9263.34,512.14,7909.86,-7021.91,74.23,1527.47,-6947.68,-5420.22
1981,498.57,1223.36,1481.9,135.98,77.42,-72.48,-959.74,-9181.53,504.07,7838.41,-7036.71,72.98,1545.95,-6963.74,-5417.78
1991,483.41,1195.56,1501.66,135.11,90.24,-62.73,-962.31,-9175.04,490.49,7855.1,-7054.21,72.2,1551.48,-6982.0,-5430.52
2001,517.22,1150.55,1487.71,132.48,69.46,-68.13,-965.67,-9065.28,484.05,7831.07,-7136.28,73.2,1573.46,-7063.07,-5489.61
2011,501.0,1190.82,1480.93,128.09,78.28,-82.97,-973.43,-9084.69,482.33,7833.8,-7102.7,73.03,1554.16,-7029.67,-5475.51
2021,484.15,1193.8,1496.61,130.76,75.46,-70.2,-977.74,-9123.9,528.57,7894.92,-7125.49,73.38,1632.44,-7052.11,-5419.67
2031,529.81,1146.92,1487.55,140.84,65.51,-74.41,-948.68,-9026.85,494.77,7818.49,-7156.59,72.54,1633.94,-7084.05,-5450.1
2041,506.42,1152.69,1470.64,130.84,68.9,-69.8,-967.77,-9073.2,496.03,7870.69,-7157.25,72.91,1585.45,-7084.34,-5498.89
2051,485.43,1192.07,1492.31,133.89,70.18,-65.0,-954.11,-9045.73,490.76,7858.92,-7181.47,73.55,1658.73,-7107.92,-5449.18
2061,490.82,1227.1,1492.86,143.59,74.5,-66.66,-941.33,-9028.41,504.38,7837.06,-7158.97,72.17,1733.91,-7086.8,-5352.89
2071,507.18,1170.95,1481.26,132.6,70.69,-72.8,-964.88,-9047.11,506.65,7894.4,-7174.24,72.86,1678.93,-7101.38,-5422.45
2081,484.37,1165.54,1469.55,133.38,82.27,-65.39,-978.34,-9068.91,507.31,7868.73,-7148.49,73.74,1598.51,-7074.75,-5476.24
2091,466.96,1182.57,1505.24,127.65,85.27,-77.13,-967.57,-9161.21,501.99,7905.59,-7108.45,73.36,1569.38,-7035.1,-5465.71
2101,516.54,1178.62,1484.23,136.89,78.65,-66.52,-950.38,-8920.34,492.1,7881.59,-7334.37,74.96,1831.38,-7259.42,-5428.03
2111,492.64,1168.61,1491.54,136.47,85.0,-63.93,-962.02,-8895.53,492.87,7837.39,-7320.42,74.04,1783.04,-7246.38,-5463.34
2121,521.91,1234.29,1516.38,132.93,73.91,-75.88,-978.05,-8954.59,492.68,7844.82,-7259.57,73.4,1808.41,-7186.17,-5377.76
2131,465.32,1205.36,1474.09,135.78,69.29,-80.28,-968.26,-8979.76,526.89,7850.12,-7227.06,74.39,1698.56,-7152.68,-5454.11
2141,533.15,1179.49,1503.8,131.24,74.24,-69.44,-957.98,-8874.04,488.12,7794.35,-7273.96,75.22,1802.93,-7198.74,-5395.8
