GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2471,463.27,1239.99,1564.43,137.65,74.32,-59.69,-1016.62,-9214.63,526.87,7758.2,-1852.67,73.08,1473.8,-1779.59,-305.79
2481,505.41,1222.11,1532.76,136.24,73.31,-75.42,-995.18,-9196.11,493.59,7709.25,-1850.11,71.92,1405.95,-1778.19,-372.24
2491,449.57,1263.9,1548.11,136.53,75.04,-64.16,-1014.18,-9248.41,516.52,7746.31,-1821.5,74.14,1409.22,-1747.35,-338.14
2501,479.3,1214.25,1535.56,129.27,79.26,-61.17,-987.42,-9297.97,507.47,7775.83,-1832.95,72.26,1374.39,-1760.69,-386.31
2511,486.93,1194.67,1552.78,135.05,66.15,-66.12,-1020.07,-9229.32,498.36,7718.75,-1836.77,72.57,1337.21,-1764.2,-426.99
2521,528.67,1189.87,1551.48,139.0,78.35,-63.25,-996.12,-9241.81,501.94,7760.66,-1841.34,71.16,1448.79,-1770.18,-321.38
2531,506.71,1192.97,1544.95,137.69,72.82,-63.68,-987.43,-9298.73,508.75,7780.26,-1829.48,72.34,1394.3,-1757.13,-362.83
2541,499.3,1233.65,1565.4,140.31,74.18,-62.5,-1002.31,-9226.58,511.86,7725.81,-1829.78,72.27,1459.11,-1757.51,-298.4
2551,498.04,1243.25,1544.87,133.24,73.47,-62.82,-1001.38,-9140.49,511.46,7662.22,-1872.11,73.71,1461.86,-1798.39,-336.54
2561,535.35,1156.56,1534.59,128.43,72.27,-61.0,-999.82,-9250.57,496.91,7706.86,-1801.82,73.0,1319.58,-1728.82,-409.24
2571,493.04,1221.2,1549.07,135.2,69.55,-80.7,-1003.52,-9247.63,498.56,7747.66,-1823.82,73.3,1382.43,-1750.52,-368.09
2581,514.19,1231.96,1537.92,140.88,83.08,-62.69,-1015.76,-9234.68,489.27,7721.59,-1804.19,72.29,1405.76,-1731.9,-326.14
2591,498.77,1225.08,1551.74,142.82,77.51,-69.56,-992.21,-9196.46,517.35,7705.32,-1838.32,73.66,1460.38,-1764.66,-304.28
2601,514.2,1186.87,1532.26,134.82,83.95,-61.91,-1017.54,-9189.84,518.39,7740.65,-1864.75,72.94,1441.85,-1791.8,-349.96
2611,510.84,1198.09,1528.35,134.64,68.38,-50.66,-1012.83,-9197.83,509.59,7749.24,-1850.4,74.51,1437.81,-1775.89,-338.09
2621,486.77,1227.58,1540.14,142.11,74.82,-65.1,-1019.7,-9248.09,530.73,7750.11,-1832.0,72.28,1419.38,-1759.72,-340.34
2631,547.93,1196.98,1553.52,142.72,77.3,-54.79,-1014.68,-9254.84,520.45,7746.94,-1818.51,72.57,1461.52,-1745.94,-284.42
2641,512.47,1231.25,1536.1,137.36,83.12,-54.02,-998.57,-9304.34,512.42,7755.31,-1787.9,72.19,1411.11,-1715.71,-304.6
2651,497.95,1220.33,1568.06,132.42,73.92,-76.7,-1027.62,-9268.69,519.31,7718.78,-1780.41,72.19,1357.77,-1708.22,-350.45
2661,515.16,1184.24,1532.27,134.86,78.73,-61.18,-972.57,-9303.87,500.72,7759.58,-1788.85,72.79,1367.94,-1716.06,-348.12
2671,491.72,1168.95,1542.13,133.52,78.97,-69.88,-981.19,-9236.18,513.17,7758.76,-1844.64,72.93,1399.97,-1771.72,-371.75
2681,511.23,1245.43,1526.56,139.61,68.48,-49.96,-998.3,-9215.05,519.2,7689.66,-1823.44,71.66,1436.86,-1751.78,-314.92
2691,515.15,1230.45,1536.02,138.53,73.76,-64.44,-994.29,-9266.19,509.41,7731.14,-1812.87,74.59,1409.55,-1738.28,-328.73
2701,533.93,1198.48,1539.88,137.2,80.01,-46.77,-1005.41,-9309.3,490.82,7751.78,-1796.41,72.03,1370.61,-1724.39,-353.78
2711,490.49,1160.08,1544.65,127.96,72.15,-70.89,-995.91,-9307.3,533.28,7839.65,-1830.43,71.66,1394.14,-1758.77,-364.62
2721,497.47,1168.59,1545.13,131.17,74.0,-49.26,-984.06,-9278.73,512.48,7755.64,-1817.21,72.44,1372.42,-1744.76,-372.34
2731,521.03,1151.95,1530.96,130.49,79.08,-58.65,-1002.04,-9212.8,506.07,7803.68,-1893.47,74.95,1449.76,-1818.52,-368.76
2741,512.52,1208.91,1545.31,128.4,69.58,-58.08,-989.48,-9214.55,509.88,7709.88,-1839.96,73.78,1422.36,-1766.18,-343.82
2751,532.07,1212.73,1525.74,137.79,81.81,-66.92,-977.44,-9261.08,506.3,7842.14,-1902.41,73.87,1533.15,-1828.53,-295.38
2761,485.54,1211.75,1552.59,130.02,81.25,-64.83,-991.49,-9314.22,511.92,7761.8,-1797.3,73.35,1364.33,-1723.94,-359.62
2771,522.96,1149.87,1531.23,126.97,69.94,-68.59,-994.27,-9154.33,512.55,7792.82,-1930.08,73.05,1489.14,-1857.03,-367.89
2781,496.55,1187.65,1544.95,139.12,74.71,-65.55,-993.37,-9241.24,529.83,7794.87,-1885.31,73.65,1467.53,-1811.66,-344.14
2791,538.06,1202.61,1541.11,136.3,75.16,-64.41,-978.33,-9105.47,497.19,7678.34,-1924.11,74.88,1520.55,-1849.22,-328.67
2801,525.35,1200.73,1534.23,137.54,95.0,-71.03,-967.35,-9223.82,528.79,7819.23,-1916.98,74.46,1578.68,-1842.52,-263.85
