GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,509.91,1229.52,1532.41,134.62,77.65,-49.26,-986.94,-9229.83,505.99,7728.61,-1847.07,74.78,1452.66,-1772.3,-319.63
11,493.62,1205.83,1554.2,132.7,77.23,-64.48,-990.96,-9301.52,514.91,7775.28,-1793.17,72.37,1396.82,-1720.8,-323.98
21,531.44,1212.67,1544.94,134.66,74.39,-46.69,-999.34,-9308.66,504.52,7792.9,-1807.93,73.03,1440.82,-1734.9,-294.08
31,525.91,1221.52,1560.95,143.75,77.96,-55.51,-986.57,-9345.0,501.26,7714.65,-1732.35,71.78,1358.93,-1660.57,-301.64
41,479.29,1179.23,1552.51,138.38,80.77,-68.54,-988.4,-9357.69,518.61,7787.75,-1776.98,72.33,1321.91,-1704.66,-382.75
51,528.84,1173.47,1554.35,135.82,79.92,-66.47,-994.29,-9218.26,502.15,7717.81,-1836.72,71.68,1413.33,-1765.03,-351.7
61,526.2,1194.09,1534.54,141.36,80.4,-60.98,-984.54,-9204.7,509.58,7738.45,-1869.74,73.04,1474.42,-1796.7,-322.28
71,526.41,1199.53,1561.43,137.26,78.76,-64.81,-978.35,-9252.69,503.49,7782.77,-1842.59,73.39,1493.79,-1769.2,-275.41
81,498.57,1220.02,1543.7,138.54,76.47,-67.63,-1003.55,-9241.97,497.32,7715.75,-1814.58,71.27,1377.21,-1743.31,-366.1
91,535.62,1181.92,1537.47,133.43,75.31,-50.42,-985.09,-9223.5,487.07,7710.78,-1836.05,72.36,1402.58,-1763.69,-361.11
101,495.55,1220.98,1546.41,139.71,79.07,-60.68,-970.19,-9290.55,502.47,7727.12,-1783.83,71.19,1389.89,-1712.64,-322.75
111,503.07,1196.52,1556.1,138.7,76.0,-68.04,-1014.16,-9241.61,503.57,7740.61,-1815.23,71.76,1390.76,-1743.47,-352.71
