Replica,file,VDWAALS (avg),VDWAALS (SD within),EEL (avg),EEL (SD within),EGB (avg),EGB (SD within),ESURF (avg),ESURF (SD within),GGAS (avg),GGAS (SD within),GSOLV (avg),GSOLV (SD within),TOTAL (avg),TOTAL (SD within),Matched TOTAL line
Rep 1,FINAL_RESULTS_MMGBSA_PAF_rep1.dat,-21.28,2.32,-18.01,3.15,32.86,3.93,-2.71,0.35,-39.29,3.73,30.16,3.73,-9.13,2.03,ΔTOTAL                   -9.13          1.43       2.03         0.06       0.08
Rep 2,FINAL_RESULTS_MMGBSA_PAF_rep2.dat,-9.91,4.7,-5.66,3.69,14.12,6.12,-1.3,0.65,-15.57,6.56,12.82,5.63,-2.75,2.01,ΔTOTAL                   -2.75          1.84       2.01         0.07       0.08
Rep 3,FINAL_RESULTS_MMGBSA_PAF_rep3.dat,-19.38,7.03,-5.61,4.39,23.19,8.05,-2.67,0.98,-24.99,10.11,20.52,7.18,-4.47,4.48,ΔTOTAL                   -4.47          1.86       4.48         0.08       0.18
