Term,Mean ± SD (kcal/mol)
VDWAALS,-16.86 ± 6.09
EEL,-9.76 ± 7.14
EGB,23.39 ± 9.37
ESURF,-2.23 ± 0.80
GGAS,-26.62 ± 11.94
GSOLV,21.17 ± 8.69
ΔGbind (ΔTOTAL),-5.45 ± 3.30
