GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
401,570.54,1346.88,1714.3,157.49,86.61,-41.52,-1123.58,-10071.35,565.56,8679.08,-2337.0,80.25,1884.0,-2256.75,-372.75
411,596.08,1339.78,1728.13,146.34,91.68,-71.81,-1122.79,-9999.36,556.7,8631.59,-2372.35,79.63,1896.36,-2292.72,-396.37
421,544.5,1321.11,1735.91,154.62,77.85,-73.35,-1156.67,-9994.42,562.19,8637.33,-2349.29,78.47,1809.07,-2270.82,-461.76
431,571.66,1350.39,1718.07,157.44,87.04,-58.79,-1139.36,-10051.08,546.08,8669.58,-2348.23,78.46,1851.03,-2269.77,-418.74
441,568.95,1297.81,1737.43,155.14,87.29,-60.15,-1131.58,-10039.96,548.58,8621.42,-2340.03,78.83,1784.93,-2261.2,-476.27
451,572.99,1329.09,1719.15,151.52,89.37,-70.94,-1133.94,-10080.4,553.64,8699.14,-2360.16,78.7,1829.62,-2281.46,-451.84
461,571.36,1319.44,1740.47,156.92,97.87,-77.49,-1088.89,-10052.55,550.35,8649.51,-2363.79,80.28,1866.98,-2283.5,-416.52
471,569.9,1345.08,1709.11,152.64,84.21,-68.89,-1132.35,-10000.83,549.9,8661.73,-2400.35,80.0,1870.49,-2320.35,-449.85
481,549.9,1368.26,1751.7,151.82,86.45,-46.07,-1127.66,-10037.23,559.67,8691.27,-2388.79,79.23,1948.12,-2309.56,-361.44
491,576.97,1325.38,1706.97,150.09,81.23,-66.3,-1109.56,-9988.62,541.28,8668.93,-2430.35,80.67,1886.38,-2349.68,-463.3
501,547.77,1330.46,1723.39,142.58,86.87,-61.76,-1146.88,-9994.72,558.2,8643.04,-2379.16,80.07,1828.93,-2299.08,-470.16
511,542.24,1347.92,1741.44,159.97,86.79,-55.68,-1121.16,-9958.89,561.9,8629.9,-2412.92,79.03,1934.43,-2333.89,-399.46
521,575.59,1336.9,1731.48,154.75,82.54,-64.79,-1137.7,-10030.06,547.19,8652.22,-2344.72,78.84,1848.12,-2265.88,-417.76
531,558.77,1360.18,1733.86,147.01,85.98,-66.26,-1137.32,-10001.76,550.95,8628.23,-2369.44,78.5,1859.64,-2290.95,-431.31
541,543.45,1369.36,1743.22,159.82,75.92,-59.14,-1121.08,-10051.73,548.11,8603.36,-2308.54,78.37,1811.31,-2230.16,-418.85
551,567.67,1357.23,1745.49,159.77,90.93,-57.99,-1129.29,-10011.23,545.46,8622.6,-2379.38,79.38,1890.66,-2300.0,-409.34
561,574.13,1337.71,1725.35,162.44,83.98,-48.59,-1132.14,-10021.93,529.46,8653.99,-2379.01,79.44,1864.4,-2299.57,-435.17
571,550.08,1340.13,1735.61,151.05,72.96,-66.34,-1132.26,-10047.88,553.06,8644.73,-2336.85,77.28,1801.12,-2259.57,-458.45
581,562.2,1318.3,1750.81,163.08,80.56,-55.33,-1137.27,-9995.43,561.98,8659.47,-2392.83,78.42,1908.36,-2314.42,-406.05
591,545.57,1317.62,1774.3,142.9,96.82,-70.87,-1092.89,-10027.76,558.82,8651.08,-2369.38,79.61,1895.59,-2289.77,-394.18
601,569.0,1360.11,1732.32,149.08,82.94,-61.69,-1128.98,-9999.73,567.57,8662.77,-2365.55,77.55,1933.38,-2288.0,-354.62
611,561.91,1327.54,1722.77,153.64,79.17,-71.33,-1114.55,-10055.75,571.34,8705.27,-2351.72,80.09,1880.02,-2271.63,-391.6
621,558.12,1320.49,1755.22,146.09,81.89,-63.99,-1118.98,-10096.71,556.66,8683.88,-2332.07,79.24,1822.67,-2252.83,-430.17
631,554.52,1318.88,1741.96,151.39,89.52,-64.59,-1102.85,-10124.91,570.72,8706.75,-2338.5,77.85,1841.4,-2260.65,-419.25
641,566.29,1344.54,1737.34,154.44,75.57,-70.18,-1153.04,-10072.27,548.16,8622.28,-2293.73,77.8,1753.14,-2215.94,-462.79
651,581.55,1303.62,1754.79,168.94,90.27,-74.26,-1131.64,-10109.11,551.23,8691.16,-2303.96,79.01,1826.55,-2224.95,-398.41
661,528.22,1347.71,1719.3,149.12,99.05,-66.37,-1129.98,-10123.88,563.89,8676.62,-2292.76,77.83,1763.69,-2214.93,-451.24
671,557.9,1297.39,1738.43,145.23,84.82,-50.41,-1140.33,-10112.52,550.92,8667.87,-2277.03,77.25,1739.3,-2199.78,-460.48
681,558.51,1306.92,1736.92,149.92,82.19,-61.61,-1117.93,-10114.8,567.69,8663.48,-2303.46,78.17,1771.31,-2225.29,-453.98
691,542.98,1303.3,1733.09,157.99,85.91,-71.61,-1114.26,-10118.76,558.61,8697.49,-2337.02,79.74,1774.75,-2257.28,-482.53
701,538.68,1298.55,1743.25,151.0,87.17,-51.84,-1128.0,-10062.88,565.91,8645.93,-2323.69,79.7,1787.76,-2244.0,-456.24
711,562.68,1349.46,1717.11,160.51,85.16,-56.51,-1109.94,-10129.29,559.43,8656.31,-2290.54,78.04,1794.91,-2212.5,-417.59
721,548.32,1332.29,1729.24,151.42,90.37,-78.03,-1118.74,-10050.93,543.37,8669.8,-2354.16,78.56,1817.12,-2275.6,-458.49
