GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,558.49,1311.3,1739.78,151.03,91.78,-38.19,-1135.77,-10088.28,548.24,8563.89,-2233.61,75.51,1702.26,-2158.1,-455.84
11,535.67,1329.55,1738.91,155.55,92.29,-57.95,-1156.68,-10125.99,555.04,8638.87,-2235.95,76.5,1705.26,-2159.44,-454.19
21,550.51,1322.21,1740.42,147.79,79.76,-57.79,-1125.64,-10063.57,541.1,8596.93,-2290.93,76.69,1731.73,-2214.24,-482.51
31,583.56,1343.77,1743.68,161.03,84.03,-51.71,-1147.11,-10119.78,540.66,8678.97,-2258.38,76.14,1817.12,-2182.24,-365.12
41,567.14,1319.18,1737.11,151.63,97.65,-61.82,-1108.98,-10020.49,546.97,8591.94,-2311.56,77.43,1820.34,-2234.13,-413.79
51,578.75,1341.09,1722.08,157.41,80.08,-61.78,-1145.53,-10046.46,545.48,8595.76,-2304.86,76.75,1766.86,-2228.11,-461.24
61,560.1,1362.65,1736.61,153.67,81.98,-51.69,-1145.97,-10019.05,555.48,8570.89,-2299.95,76.89,1804.67,-2223.06,-418.39
71,544.25,1307.65,1747.18,153.69,93.46,-56.62,-1160.8,-10073.86,572.47,8679.54,-2307.83,76.28,1806.96,-2231.55,-424.59
81,559.52,1318.01,1748.26,148.42,86.45,-62.27,-1136.2,-10128.52,556.95,8660.33,-2248.48,77.38,1750.92,-2171.09,-420.17
91,565.56,1317.4,1748.46,148.44,100.28,-64.75,-1131.49,-10064.74,569.36,8638.69,-2301.13,77.09,1827.21,-2224.04,-396.84
101,531.05,1328.21,1741.29,151.55,90.2,-61.86,-1119.53,-10084.88,546.05,8612.36,-2260.72,76.68,1734.44,-2184.04,-449.6
111,551.24,1267.57,1733.29,157.58,88.98,-52.1,-1146.43,-10155.3,569.14,8659.92,-2216.9,74.93,1673.89,-2141.98,-468.09
121,571.52,1332.92,1729.41,152.06,89.2,-50.08,-1143.41,-10055.23,555.54,8618.43,-2294.47,76.71,1800.37,-2217.76,-417.39
131,552.93,1285.85,1727.98,148.89,90.2,-60.67,-1158.31,-10064.69,551.53,8651.68,-2294.99,76.71,1725.41,-2218.28,-492.87
141,565.37,1269.37,1732.82,146.04,83.12,-72.94,-1138.8,-10064.48,551.63,8662.83,-2300.27,76.73,1734.95,-2223.54,-488.59
151,539.15,1323.73,1733.53,165.15,88.99,-39.72,-1136.76,-10106.04,562.18,8626.36,-2252.35,77.02,1756.57,-2175.34,-418.77
161,583.62,1337.09,1734.65,158.74,80.51,-61.75,-1126.89,-9999.93,558.18,8601.09,-2324.16,77.91,1865.32,-2246.24,-380.93
171,571.66,1344.29,1750.26,157.04,80.03,-41.96,-1159.27,-10096.01,546.61,8609.07,-2252.1,75.35,1761.71,-2176.75,-415.04
181,538.31,1303.26,1716.93,147.3,98.15,-53.86,-1148.88,-10174.1,547.77,8662.77,-2225.26,75.37,1637.65,-2149.89,-512.24
