GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,564.64,1193.27,1528.17,136.96,80.18,-60.87,-1008.91,-9392.22,505.98,7758.88,-1713.16,71.98,1306.08,-1641.18,-335.1
11,508.94,1171.33,1530.92,133.77,78.11,-66.18,-1006.33,-9337.85,512.9,7796.85,-1771.21,72.47,1322.46,-1698.74,-376.28
21,500.6,1178.26,1541.34,138.43,78.7,-66.4,-998.06,-9380.6,513.66,7832.06,-1776.25,71.32,1338.0,-1704.93,-366.93
31,501.58,1200.44,1569.34,131.37,74.56,-74.88,-1002.55,-9335.59,522.56,7858.62,-1808.87,71.77,1445.46,-1737.1,-291.64
41,494.82,1209.43,1545.68,137.85,73.57,-53.16,-1014.19,-9380.13,499.56,7808.27,-1738.54,72.13,1321.71,-1666.41,-344.7
51,510.5,1165.38,1546.32,128.67,83.02,-65.02,-988.03,-9346.85,512.48,7810.83,-1781.37,73.75,1357.31,-1707.62,-350.3
61,510.47,1190.17,1563.32,130.02,75.72,-62.63,-997.12,-9308.86,506.29,7805.56,-1820.84,72.1,1412.94,-1748.74,-335.8
71,473.87,1223.71,1574.28,137.1,76.28,-67.47,-1037.38,-9222.53,506.95,7763.62,-1834.91,69.9,1428.43,-1765.01,-336.58
81,515.24,1202.52,1587.0,145.02,75.01,-68.95,-991.0,-9327.69,513.72,7817.17,-1787.81,73.62,1468.04,-1714.19,-246.14
91,495.07,1175.57,1565.52,132.46,73.07,-65.58,-1015.03,-9301.27,520.14,7803.73,-1808.0,73.26,1383.69,-1734.74,-351.05
101,518.98,1230.77,1575.56,137.73,78.15,-71.6,-1029.22,-9306.13,503.16,7803.28,-1791.92,70.84,1440.68,-1721.08,-280.4
111,504.41,1198.56,1555.48,137.28,91.21,-77.51,-1022.5,-9325.44,496.55,7794.12,-1761.2,73.01,1352.16,-1688.19,-336.03
121,486.59,1134.09,1540.95,125.95,80.59,-63.91,-996.46,-9312.81,505.02,7834.62,-1835.36,71.73,1334.62,-1763.63,-429.01
131,512.36,1159.77,1554.14,140.95,76.55,-57.69,-1011.11,-9237.11,504.15,7803.12,-1865.9,72.04,1445.14,-1793.85,-348.72
141,531.43,1209.2,1542.69,134.45,81.8,-72.4,-1008.55,-9300.5,519.61,7777.61,-1783.83,70.78,1415.34,-1713.04,-297.7
151,507.08,1177.37,1546.06,136.11,88.62,-64.47,-985.43,-9377.95,513.42,7808.85,-1752.37,72.81,1349.67,-1679.55,-329.89
161,526.87,1165.53,1560.37,132.62,83.48,-77.51,-1010.5,-9307.91,498.41,7785.96,-1773.94,72.61,1357.31,-1701.34,-344.03
171,522.73,1195.83,1545.32,141.48,78.22,-59.68,-1002.95,-9294.42,500.87,7755.98,-1784.14,73.73,1383.37,-1710.41,-327.04
181,534.37,1195.51,1543.2,137.16,76.21,-57.48,-1007.07,-9306.77,514.56,7793.05,-1801.24,72.13,1422.74,-1729.11,-306.36
191,526.84,1239.88,1536.85,145.45,78.74,-59.48,-1005.51,-9224.22,515.18,7784.85,-1875.43,73.24,1538.57,-1802.19,-263.62
