GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,541.45,1338.75,1714.54,150.36,93.89,-56.48,-1135.81,-10095.6,559.81,8602.87,-2283.37,77.53,1713.79,-2205.84,-492.05
11,539.82,1321.29,1717.65,155.09,78.54,-65.99,-1132.64,-10115.46,547.99,8633.58,-2258.94,78.68,1679.87,-2180.26,-500.38
21,528.23,1291.34,1740.43,151.34,84.36,-57.56,-1129.94,-10090.13,577.21,8586.72,-2275.77,78.71,1682.0,-2197.05,-515.06
31,541.53,1299.4,1738.4,155.36,95.29,-52.04,-1123.08,-10143.48,570.36,8673.73,-2276.31,79.6,1755.49,-2196.71,-441.23
41,541.93,1293.92,1709.68,160.14,77.46,-65.09,-1116.49,-10184.74,555.94,8615.37,-2210.39,78.3,1588.12,-2132.09,-543.96
51,583.88,1328.88,1718.55,145.6,77.86,-59.31,-1113.01,-10242.25,556.04,8677.49,-2200.12,77.24,1673.74,-2122.88,-449.14
61,574.7,1315.26,1728.91,151.57,75.52,-49.8,-1142.82,-10206.5,551.33,8682.93,-2213.1,76.32,1681.1,-2136.78,-455.68
71,589.89,1313.99,1748.21,147.08,81.73,-65.04,-1146.15,-10124.89,549.22,8646.74,-2264.92,77.31,1740.77,-2187.61,-446.83
81,558.12,1345.04,1712.13,148.92,94.45,-63.06,-1106.62,-10150.5,555.41,8665.66,-2258.35,77.51,1759.56,-2180.83,-421.27
91,554.08,1318.44,1742.12,154.48,81.44,-46.68,-1150.95,-10159.61,551.22,8718.19,-2279.75,77.91,1762.74,-2201.85,-439.11
101,548.88,1333.74,1732.82,156.21,78.89,-53.49,-1151.35,-10124.17,567.56,8710.35,-2287.17,77.03,1799.44,-2210.15,-410.7
111,545.2,1336.99,1733.86,152.26,90.58,-53.31,-1102.7,-10148.76,556.4,8666.49,-2288.21,78.92,1777.02,-2209.29,-432.27
121,537.21,1363.28,1749.74,144.61,81.13,-71.73,-1125.93,-10112.0,571.23,8624.84,-2265.72,77.38,1762.39,-2188.35,-425.96
131,586.15,1327.35,1718.52,151.68,91.6,-51.57,-1152.78,-10126.66,544.87,8669.8,-2273.89,77.4,1758.96,-2196.48,-437.52
141,572.8,1327.65,1709.94,147.71,85.96,-62.19,-1102.63,-10181.38,553.26,8706.6,-2288.81,77.55,1757.71,-2211.26,-453.55
151,540.62,1375.58,1727.47,149.33,83.44,-47.54,-1126.79,-10089.64,559.01,8647.28,-2309.8,78.81,1818.75,-2231.0,-412.25
161,571.31,1321.04,1738.92,156.07,76.49,-69.92,-1120.6,-10082.74,565.66,8631.13,-2295.81,79.34,1787.35,-2216.47,-429.12
171,564.95,1261.56,1723.46,138.72,70.92,-57.95,-1119.68,-10100.47,564.15,8709.28,-2321.9,80.19,1754.95,-2241.71,-486.76
181,583.42,1278.26,1720.2,155.18,78.32,-52.26,-1102.22,-10110.68,564.98,8658.67,-2303.47,78.42,1773.85,-2225.05,-451.2
191,556.78,1297.98,1705.57,153.74,83.77,-44.72,-1114.01,-10109.02,562.09,8679.89,-2319.62,78.75,1772.07,-2240.88,-468.8
201,526.47,1320.7,1720.6,145.26,79.35,-58.38,-1121.71,-10130.98,545.09,8654.9,-2281.97,79.96,1681.3,-2202.01,-520.7
211,565.29,1365.7,1722.34,151.57,96.31,-46.82,-1119.31,-10138.17,549.92,8664.08,-2260.07,79.03,1810.92,-2181.03,-370.11
221,552.11,1357.93,1699.06,163.02,83.99,-63.17,-1126.56,-10143.76,554.06,8701.63,-2256.04,78.72,1778.31,-2177.32,-399.01
231,554.53,1312.11,1704.32,159.45,82.72,-51.65,-1116.45,-10145.47,560.44,8689.62,-2271.5,78.27,1749.64,-2193.22,-443.58
241,542.27,1337.74,1701.85,154.58,90.34,-41.17,-1141.12,-10127.0,540.78,8625.71,-2248.22,77.58,1683.99,-2170.64,-486.65
251,550.49,1355.46,1719.4,149.67,76.22,-52.75,-1130.52,-10171.03,562.98,8679.61,-2250.52,78.95,1739.52,-2171.58,-432.05
