System,Metric,"Rep 1 (20–60 ns, mean ± SD)","Rep 2 (20–60 ns, mean ± SD)","Rep 3 (20–60 ns, mean ± SD)",Replica-average of means (mean ± SD)
PAF,Ligand heavy-atom RMSD (nm),0.606 ± 0.040,1.229 ± 0.237,0.693 ± 0.103,0.842 ± 0.337
PAF,Lig–Pocket COM distance (nm),0.688 ± 0.045,1.333 ± 0.236,0.763 ± 0.117,0.928 ± 0.353
