System,Metric,Replica,Mean,SD,Mean ± SD,Npoints in window,t_first(ns),t_last(ns),Source file
CAF,Cα RMSD (nm),Rep 1,0.11711676315,0.018160484978962974,0.117 ± 0.018,4000,0.0,60.000004,rmsd_jmjc_CA_CAF_rep1.xvg
CAF,Cα RMSD (nm),Rep 2,0.1477008938,0.010572690699273869,0.148 ± 0.011,4000,0.0,60.000004,rmsd_jmjc_CA_CAF_rep2.xvg
CAF,Cα RMSD (nm),Rep 3,0.14796917404999999,0.015777740357693342,0.148 ± 0.016,4000,0.0,60.0000038,rmsd_jmjc_CA_CAF_rep3.xvg
CAF,Radius of gyration (Rg) (nm),Rep 1,1.6973236178455386,0.008004378502243099,1.697 ± 0.008,4001,0.0,60.0,rg_jmjc_CAF_rep1.xvg
CAF,Radius of gyration (Rg) (nm),Rep 2,1.7353953136715823,0.007357840670627187,1.735 ± 0.007,4001,0.0,60.0,rg_jmjc_CAF_rep2.xvg
CAF,Radius of gyration (Rg) (nm),Rep 3,1.701395515371157,0.007709777716207268,1.701 ± 0.008,4001,0.0,60.0,rg_jmjc_CAF_rep3.xvg
CAF,SASA (nm$^2$),Rep 1,102.18423319170208,1.3969424857015538,102.184 ± 1.397,4001,0.0,60.0,sasa_total_CAF_rep1.xvg
CAF,SASA (nm$^2$),Rep 2,106.06691202199451,1.3770093056177708,106.067 ± 1.377,4001,0.0,60.0,sasa_total_CAF_rep2.xvg
CAF,SASA (nm$^2$),Rep 3,104.47710947263185,1.2693230979592025,104.477 ± 1.269,4001,0.0,60.0,sasa_total_CAF_rep3.xvg
