GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1131,501.83,1135.26,1508.51,132.22,78.72,-57.03,-1009.0,-9303.69,519.38,7856.07,-1804.93,68.07,1362.27,-1736.86,-374.59
1141,464.55,1168.48,1504.6,125.6,77.99,-66.43,-988.89,-9238.88,512.61,7771.41,-1817.71,68.08,1331.03,-1749.62,-418.59
1151,530.18,1179.02,1511.46,132.35,86.5,-61.92,-1008.35,-9299.89,487.29,7795.92,-1796.94,70.21,1352.55,-1726.73,-374.18
1161,493.81,1185.98,1478.9,127.39,67.52,-80.46,-1015.42,-9303.1,490.4,7813.43,-1767.19,67.63,1258.44,-1699.56,-441.12
1171,503.78,1166.11,1489.48,138.1,75.44,-54.57,-1000.45,-9318.91,495.28,7767.96,-1729.03,68.65,1262.22,-1660.38,-398.16
1181,528.44,1219.23,1502.14,138.71,80.4,-71.32,-992.44,-9317.05,498.93,7769.7,-1757.17,68.8,1356.73,-1688.37,-331.64
1191,496.25,1192.81,1503.33,143.25,80.03,-68.96,-1003.23,-9371.92,489.79,7815.25,-1724.67,67.4,1276.62,-1657.26,-380.64
1201,506.1,1167.96,1497.14,130.49,81.54,-57.27,-1004.47,-9325.43,503.32,7841.12,-1787.14,68.29,1340.49,-1718.85,-378.35
1211,478.6,1164.32,1503.03,136.35,67.59,-59.05,-1017.86,-9301.92,514.35,7859.11,-1804.29,67.72,1344.54,-1736.57,-392.03
1221,479.6,1154.12,1484.66,127.49,74.59,-67.12,-1006.05,-9354.92,511.36,7857.69,-1771.61,68.03,1261.42,-1703.58,-442.16
1231,508.71,1200.15,1480.72,129.68,74.04,-63.79,-1013.55,-9258.65,500.09,7835.88,-1841.35,69.01,1393.28,-1772.34,-379.06
1241,491.88,1128.15,1511.23,124.56,70.34,-62.83,-1004.65,-9281.6,493.3,7818.88,-1801.86,69.41,1289.28,-1732.44,-443.17
1251,504.67,1173.53,1506.32,137.35,80.25,-72.58,-1006.49,-9209.59,503.61,7828.85,-1874.83,68.38,1445.92,-1806.45,-360.53
