System,Metric,Rep 1 (20–60 ns mean),Rep 2 (20–60 ns mean),Rep 3 (20–60 ns mean),Replica-avg (mean ± SD)
5FWJ metal-depleted,Pocket RMSD (nm),0.12835543405,0.1282074179,0.14800265085,0.135 ± 0.011
5FWJ metal-depleted,Pocket Rg (nm),0.94419924043989,0.9287451927018245,0.9451405746063484,0.939 ± 0.009
