GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,546.09,1206.99,1576.95,160.39,79.75,-68.19,-985.64,-9154.87,528.45,7773.95,-7031.36,71.62,1663.87,-6959.74,-5295.87
11,501.61,1141.05,1577.5,134.12,76.74,-73.09,-1033.81,-9128.52,518.96,7818.12,-7052.33,70.27,1532.68,-6982.07,-5449.39
21,520.88,1185.52,1572.78,133.13,69.21,-75.98,-1029.08,-9109.82,517.27,7797.12,-7078.05,68.65,1581.03,-7009.4,-5428.37
31,513.22,1273.94,1565.98,139.56,79.16,-71.75,-1023.79,-9026.5,498.88,7747.29,-7132.16,68.43,1695.99,-7063.73,-5367.74
41,474.61,1207.22,1544.17,130.78,69.67,-77.4,-1053.56,-9041.05,518.89,7697.69,-7050.65,68.34,1471.0,-6982.31,-5511.31
51,526.39,1206.99,1571.08,128.92,85.42,-74.71,-1006.84,-9153.79,508.73,7753.6,-7022.48,70.42,1545.79,-6952.06,-5406.27
61,479.87,1197.43,1566.44,134.07,82.23,-78.38,-1019.81,-8857.59,519.37,7768.56,-7320.26,69.4,1792.18,-7250.86,-5458.67
71,477.35,1200.94,1560.15,132.09,77.02,-70.86,-1000.27,-9227.25,513.76,7784.46,-6956.98,70.77,1447.39,-6886.21,-5438.82
81,492.84,1205.88,1555.92,137.75,88.01,-70.51,-1008.93,-9172.31,523.25,7756.15,-6986.63,73.29,1508.05,-6913.34,-5405.29
91,503.77,1173.92,1534.45,138.62,68.35,-55.51,-1044.32,-9242.47,498.99,7816.82,-6919.36,70.84,1392.63,-6848.52,-5455.89
101,500.01,1161.6,1556.15,129.09,68.63,-55.64,-1016.43,-9120.35,513.69,7800.87,-7055.2,70.98,1537.63,-6984.22,-5446.59
111,542.6,1204.24,1545.34,129.17,79.76,-61.02,-1018.64,-9315.32,501.24,7786.99,-6865.36,70.3,1394.38,-6795.06,-5400.68
121,463.74,1166.88,1576.12,133.46,82.78,-62.03,-1011.35,-9405.68,530.44,7807.43,-6772.67,71.43,1281.78,-6701.24,-5419.46
131,483.33,1208.14,1545.36,139.2,79.26,-79.72,-1041.41,-9141.14,497.56,7785.88,-7018.08,70.93,1476.46,-6947.15,-5470.69
141,513.03,1209.26,1571.01,145.73,77.61,-80.71,-1039.8,-9293.22,529.0,7775.6,-6859.87,69.96,1407.51,-6789.9,-5382.4
151,501.35,1180.1,1546.35,133.35,69.87,-72.18,-1017.42,-9090.17,522.42,7756.35,-7069.16,70.17,1530.03,-6998.99,-5468.96
161,507.15,1177.32,1544.71,138.96,93.14,-76.21,-1016.94,-9270.79,521.59,7799.18,-6914.67,70.47,1418.12,-6844.2,-5426.08
171,507.78,1184.54,1564.92,137.3,74.24,-78.14,-1013.73,-9216.69,515.59,7802.21,-6970.0,70.86,1478.0,-6899.14,-5421.14
181,515.98,1222.44,1563.25,142.39,82.03,-66.1,-1017.7,-9387.29,523.74,7800.07,-6777.38,69.28,1378.81,-6708.09,-5329.29
191,505.22,1209.7,1541.83,140.41,88.91,-71.5,-1030.9,-9387.2,522.01,7785.22,-6781.84,69.15,1303.69,-6712.69,-5409.0
201,485.64,1199.85,1570.74,138.38,79.64,-75.08,-1032.64,-9419.48,539.41,7857.31,-6808.95,70.99,1343.77,-6737.96,-5394.19
211,543.74,1168.44,1549.89,136.71,76.19,-63.35,-988.38,-9151.07,503.81,7813.4,-7099.46,70.2,1589.38,-7029.26,-5439.87
221,520.46,1140.96,1537.51,125.59,69.18,-66.19,-976.37,-9475.55,502.4,7783.21,-6716.19,70.54,1161.19,-6645.64,-5484.46
231,480.06,1184.06,1554.21,136.62,78.34,-70.58,-1042.59,-9064.43,518.79,7843.05,-7160.25,69.15,1617.51,-7091.1,-5473.59
241,540.63,1182.81,1543.62,134.31,81.86,-63.1,-1000.61,-9452.51,500.23,7802.71,-6770.86,68.97,1269.95,-6701.89,-5431.95
251,512.82,1226.72,1584.76,142.48,79.55,-70.2,-1027.71,-9071.0,517.06,7803.02,-7133.57,69.55,1697.51,-7064.02,-5366.52
261,499.41,1161.88,1536.5,137.69,86.47,-74.97,-1035.65,-8876.02,529.58,7844.47,-7342.93,69.77,1809.37,-7273.15,-5463.79
271,509.17,1224.72,1547.17,143.53,78.44,-73.23,-1025.62,-8805.13,526.54,7821.89,-7397.62,70.23,1947.48,-7327.39,-5379.92
281,493.5,1212.09,1545.87,145.63,75.45,-68.56,-1027.45,-8839.23,531.2,7852.69,-7373.12,71.22,1921.19,-7301.9,-5380.72
291,511.95,1200.93,1547.9,128.34,80.35,-68.29,-1029.89,-8811.82,511.7,7821.43,-7366.27,69.59,1892.57,-7296.68,-5404.11
301,537.67,1162.04,1544.21,140.99,76.14,-58.93,-1002.31,-8879.97,508.57,7737.92,-7286.98,69.77,1766.34,-7217.21,-5450.87
311,497.77,1200.04,1581.63,146.03,81.17,-57.17,-1009.09,-8947.33,498.23,7739.54,-7199.03,69.93,1730.82,-7129.1,-5398.28
321,496.12,1195.11,1561.62,130.59,76.96,-72.14,-1015.81,-9024.52,514.68,7772.86,-7151.19,69.96,1635.47,-7081.23,-5445.76
331,483.21,1210.31,1559.7,136.23,70.69,-63.62,-1039.17,-9070.67,490.11,7849.81,-7137.11,69.39,1626.6,-7067.72,-5441.12
341,540.67,1206.54,1546.94,137.81,65.46,-73.49,-1013.11,-8984.71,530.25,7844.22,-7204.54,69.9,1800.57,-7134.64,-5334.07
351,500.88,1188.81,1567.21,124.54,66.56,-55.02,-1010.47,-8747.99,529.31,7760.84,-7411.76,70.72,1924.68,-7341.04,-5416.36
361,499.04,1200.87,1544.76,134.47,80.94,-61.88,-1012.15,-8953.29,485.38,7772.53,-7219.67,70.57,1690.67,-7149.1,-5458.43
371,531.51,1225.83,1540.04,144.28,80.84,-62.61,-995.22,-9002.81,512.26,7732.83,-7141.16,71.18,1706.95,-7069.98,-5363.03
381,529.85,1188.61,1557.89,143.69,77.06,-51.55,-997.65,-8866.13,504.27,7733.1,-7254.39,71.87,1819.13,-7182.53,-5363.4
391,513.86,1176.61,1557.33,134.0,75.3,-70.06,-1012.08,-8889.66,528.33,7765.51,-7242.52,69.96,1779.14,-7172.57,-5393.43
401,505.98,1157.8,1539.26,126.6,77.1,-65.52,-1018.44,-8898.67,495.03,7787.26,-7250.82,71.1,1706.39,-7179.72,-5473.33
411,523.97,1211.03,1510.71,138.71,76.69,-66.01,-1036.6,-8924.86,499.94,7810.16,-7247.17,70.81,1743.74,-7176.36,-5432.62
421,488.04,1200.18,1584.82,142.2,83.85,-70.31,-1004.79,-9061.71,517.22,7791.84,-7124.29,69.64,1671.33,-7054.64,-5383.31
431,524.07,1235.67,1523.54,140.67,79.56,-69.41,-1026.17,-9124.88,508.73,7736.2,-7015.05,70.36,1527.98,-6944.69,-5416.71
441,498.81,1197.58,1535.35,133.79,79.99,-56.48,-1010.45,-9059.05,517.6,7730.78,-7091.81,70.4,1567.91,-7021.41,-5453.5
451,515.18,1215.1,1543.96,138.82,80.38,-64.0,-1030.92,-9081.3,493.74,7730.37,-7040.71,71.33,1541.33,-6969.38,-5428.05
461,516.2,1214.12,1569.18,129.23,78.53,-66.21,-1004.5,-9158.75,504.65,7785.8,-7015.34,70.02,1568.26,-6945.32,-5377.05
471,508.87,1157.05,1542.55,141.09,80.64,-64.21,-1045.67,-9192.67,517.67,7787.45,-6938.59,70.14,1432.75,-6868.44,-5435.7
481,486.33,1229.77,1560.14,151.72,84.35,-68.3,-1031.35,-9274.66,512.07,7844.49,-6927.7,70.9,1494.57,-6856.81,-5362.24
491,525.13,1182.15,1560.51,135.71,83.37,-74.32,-1014.83,-9036.65,514.15,7802.95,-7131.65,70.35,1678.15,-7061.29,-5383.14
501,517.99,1203.82,1557.79,140.39,81.53,-63.66,-1017.55,-9152.56,496.27,7709.71,-6955.6,70.48,1473.72,-6885.12,-5411.4
511,512.02,1212.92,1538.56,137.93,76.93,-49.75,-1020.22,-9160.93,510.93,7714.87,-6942.14,69.64,1473.26,-6872.5,-5399.24
521,488.84,1221.95,1555.05,131.02,82.5,-80.41,-1012.65,-8980.15,512.3,7743.28,-7150.03,70.83,1661.73,-7079.19,-5417.47
531,517.58,1190.76,1548.77,142.71,76.92,-65.0,-1008.09,-8917.78,524.57,7716.15,-7161.69,70.93,1726.59,-7090.76,-5364.17
541,515.22,1223.73,1552.5,133.64,67.47,-61.93,-999.79,-9150.57,500.1,7735.5,-6975.2,71.81,1515.87,-6903.39,-5387.52
551,494.98,1191.25,1527.94,133.4,67.94,-68.69,-1030.1,-9040.33,515.82,7768.84,-7090.84,70.46,1561.03,-7020.38,-5459.35
561,517.37,1200.69,1565.44,138.64,81.35,-64.94,-1022.09,-8973.15,510.63,7802.81,-7216.12,70.5,1756.76,-7145.63,-5388.87
571,529.09,1159.51,1544.32,135.28,81.26,-73.23,-1010.34,-8769.74,525.75,7796.94,-7389.13,70.46,1918.83,-7318.67,-5399.84
